1,你电脑的CPU已经到达95%，请及时处理,1,2022/1/23 12:00,QA(192.168.6.23),7
2,你电脑的CPU已经到达95%，请及时处理,2,2022/1/23 12:00,QA(192.168.6.23),6
3,你电脑的CPU已经到达95%，请及时处理,3,2022/1/23 12:00,QA(192.168.6.23),5
4,你电脑的CPU已经到达95%，请及时处理,4,2022/1/23 12:00,QA(192.168.6.23),4
5,你电脑的CPU已经到达95%，请及时处理,5,2022/1/23 12:00,QA(192.168.6.23),3
6,你电脑的CPU已经到达95%，请及时处理,6,2022/1/23 12:00,QA(192.168.6.23),2
7,你电脑的CPU已经到达95%，请及时处理,0,2022/1/23 12:00,QA(192.168.6.23),1
8,你电脑的CPU已经到达95%，请及时处理,1,2022/1/23 12:00,QA(192.168.6.23),0
9,你电脑的CPU已经到达95%，请及时处理,2,2022/1/23 12:00,QA(192.168.6.23),7
10,你电脑的CPU已经到达95%，请及时处理,3,2022/1/23 12:00,QA(192.168.6.23),6
11,你电脑的CPU已经到达95%，请及时处理,4,2022/1/23 12:00,QA(192.168.6.23),5
12,你电脑的CPU已经到达95%，请及时处理,5,2022/1/23 12:00,QA(192.168.6.23),4
13,你电脑的CPU已经到达95%，请及时处理,6,2022/1/23 12:00,QA(192.168.6.23),3
14,你电脑的CPU已经到达95%，请及时处理,7,2022/1/23 12:00,QA(192.168.6.23),2
15,你电脑的CPU已经到达95%，请及时处理,8,2022/1/23 12:00,QA(192.168.6.23),1
